                 X [m]	                 Y [m]	c [MN/m³]
19.85	7.31	6.256389779
19.85	7.31	6.256389779
19.85	7.31	6.256389779
19.85	7.31	6.256389779
19.85	7.31	6.256389779
21.35	7.31	6.322296249
21.35	7.31	6.322296249
21.35	7.31	6.322296249
21.35	7.31	6.322296249
21.35	7.31	6.322296249
21.35	7.31	6.322296249
23.06	7.31	6.293977967
23.06	7.31	6.293977967
23.06	7.31	6.293977967
23.06	7.31	6.293977967
23.06	7.31	6.293977967
23.06	7.31	6.293977967
23.06	7.31	6.293977967
24.38	3.93	6.676997455
24.38	3.93	6.676997455
24.38	3.93	6.676997455
24.38	3.93	6.676997455
24.38	3.93	6.676997455
24.38	3.93	6.676997455
24.38	3.93	6.676997455
24.38	4.43	6.531783384
24.38	4.43	6.531783384
24.38	4.43	6.531783384
24.38	4.43	6.531783384
24.38	4.43	6.531783384
23.55	3.93	6.481451163
23.55	3.93	6.481451163
23.55	3.93	6.481451163
23.55	3.93	6.481451163
23.55	3.93	6.481451163
24.62	3.93	6.511222885
24.62	3.93	6.511222885
24.62	3.93	6.511222885
24.62	3.93	6.511222885
24.62	3.93	6.511222885
24.62	3.93	6.511222885
24.38	-6.34	4.693886561
24.38	-6.34	4.693886561
24.38	-6.34	4.693886561
24.38	-6.34	4.693886561
24.38	-6.34	4.693886561
24.38	-6.34	4.693886561
27.91	3.93	6.219421183
27.91	3.93	6.219421183
27.91	3.93	6.219421183
27.91	3.93	6.219421183
27.91	3.93	6.219421183
